x1,x2,G,F1,F2,F3,F4
149.9999963,150,-7.508262474,141.4213536,99.99999634,100,3.66E-06
150,50.00000045,-7.508264202,99.99999997,141.4213559,4.51E-07,99.99999955
50.00000202,50.00000395,-7.508261219,4.44E-06,99.99999605,99.99999798,141.421352
50.00000163,149.9999995,-7.508263313,99.99999951,1.70E-06,141.4213547,99.99999837
149.9999195,77.07934043,-0.000756318,103.6015182,123.7635103,27.07934043,72.92065957
77.08026523,50.00151243,-0.000353641,27.08026527,103.6003778,72.91973479,123.7618085
149.9998371,122.9181287,-0.000486711,123.7619526,103.6021002,72.9181287,27.0818713
86.19573595,85.56759021,-0.002491242,50.74627843,73.90309014,73.04818673,90.67810949
77.00019877,149.9908812,-0.006687623,103.5721346,27.00020031,123.8028566,72.9998018
113.1584624,115.0558049,-0.000385332,90.67110409,72.18094031,74.76333755,50.77790531
114.0379827,85.79245211,-0.002345296,73.3618624,90.6833636,50.73821358,73.59263479
86.75024912,114.9789846,-0.000160809,74.6515187,50.76467603,90.67965274,72.29801179
122.9634164,50.00001485,-0.005031005,72.96341642,123.7887603,27.03658358,103.590414
50.00002405,76.97351066,-0.011339943,26.97351066,73.02648934,103.5739613,123.8259397
149.9999966,122.9181287,-0.000521327,123.7620815,103.6022542,72.9181287,27.0818713
76.95229476,149.9430008,-0.001085012,103.5134271,26.95235503,123.7924499,73.04772748
56.95888129,51.02295896,-3.903132675,7.033667172,99.2213721,93.0467421,135.8422041
54.76622462,56.41490375,-2.698158571,7.991738685,93.70638792,95.44958336,133.520194
51.13563817,50.04317686,-6.885962149,1.136458662,99.96327408,98.86437126,140.5899304
146.3687046,60.80846413,-1.795187793,96.97293498,131.3090145,11.40215784,89.26542655
149.9995831,123.2071344,-0.029502257,123.9322442,103.5266839,73.20713445,26.79286555
147.2979339,56.39730546,-3.43950295,97.50801743,135.0124156,6.944543053,93.64168722
50.10706228,149.7013484,-7.289704806,99.70140589,0.317261891,141.1345382,99.89338416
149.8457423,149.3853306,-7.097456143,140.8780188,99.84763432,99.38545029,0.633730171
50.00014054,129.165782,-0.794057574,79.16578198,20.83421802,127.5429062,102.1471318
149.4302918,149.178355,-6.773421106,140.4376339,99.43368657,99.17999127,0.999833962
143.6503889,53.29077171,-3.236453784,93.70818811,134.6219528,7.151694881,96.91745146
52.37025635,51.71589542,-5.46669032,2.926159983,98.31268142,97.64482138,138.5327833
142.3868571,147.3759817,-3.057734009,134.228958,92.42411394,97.67313733,8.0526652
137.7614592,50.29830483,-2.517214569,87.7619662,132.8250795,12.24217571,100.4500368
50.07323373,50.34871134,-7.281136835,0.35631837,99.65131557,99.92737471,141.1231304
141.2628143,143.8926615,-1.612419301,130.9378981,91.46693865,94.29830481,10.66011244
148.1019095,59.83162023,-2.630288642,98.59333345,133.2453427,10.01316653,90.18835545
